Custom Chart,,
https://www.eia.gov/outlooks/steo/data/browser/#/?v=22&f=M&s=0&start=200812&end=202201&ctype=linechart&maptype=0&linechart=~NGEPGEN_CA~HVEPGEN_CA&map=,,
19:03:09 GMT-0500 (Eastern Standard Time),,
Data source: U.S. Energy Information Administration,,
Month,Electric power sector generation by natural gas: California billion kilowatthours,Electric power sector generation by conventional hydropower: California billion kilowatthours
Dec-24,6.33,1.46
Nov-24,6.48,1.22
Oct-24,6.18,1.47
Sep-24,8.07,2.03
Aug-24,8.56,2.64
Jul-24,6.11,3.03
Jun-24,3.4,2.94
May-24,2,2.93
Apr-24,2.65,2.44
Mar-24,2.44,1.98
Feb-24,3.54,1.36
Jan-24,4.91,1.36
Dec-23,6.4,1.24
Nov-23,7.21,1.01
Oct-23,7.08,1.23
Sep-23,9.09,1.73
Aug-23,9.73,2.27
Jul-23,7.41,2.62
Jun-23,4.52,2.53
May-23,2.82,2.51
Apr-23,3.34,2.06
Mar-23,3.06,1.64
Feb-23,3.54,1.07
Jan-23,5.11,1.09
Dec-22,6.6,1.03
Nov-22,6.68,0.82
Oct-22,8.64,0.86
Feb-22,5.06,1.09
Jan-22,6.18,1.01
Dec-21,7.3,0.86
Nov-21,7.02,0.81
Oct-21,7.7,1.2
Sep-21,8.28,1.46
Aug-21,9.93,1.62
Jul-21,11.2,1.82
Jun-21,7.71,1.52
May-21,5.17,1.39
Apr-21,5.2,1.23
Mar-21,5.62,0.99
Feb-21,5.28,0.8
Jan-21,6.1,0.73
Dec-20,7.8,0.86
Nov-20,6.93,1.05
Oct-20,9.31,1.4
Sep-20,8.79,1.72
Aug-20,10.36,2.57
Jul-20,7.89,2.57
Jun-20,5.34,2.46
May-20,3.57,2.65
Apr-20,3.91,1.91
Mar-20,5.99,1.22
Feb-20,5.22,1.15
Jan-20,5.82,1.57
Dec-19,7.7,1.95
Nov-19,7.51,1.62
Oct-19,7.65,2.14
Sep-19,7.48,2.77
Aug-19,8.67,3.75
Jul-19,7.18,4.19
Jun-19,4.09,4.57
May-19,2.81,4.54
Apr-19,3.36,4.6
Mar-19,5.3,4.27
Feb-19,6.28,2.16
Jan-19,6.75,1.45
Dec-18,7.22,1.43
Nov-18,7.35,1.17
Oct-18,7.98,1.46
Sep-18,7.16,2.28
Aug-18,9.41,2.81
Jul-18,10.3,3.15
Jun-18,5.2,2.86
May-18,3.43,3.08
Apr-18,4,3.19
Mar-18,5.65,1.83
Feb-18,5.39,1.18
Jan-18,6.08,1.59
Dec-17,6.76,1.86
Nov-17,6.3,1.79
Oct-17,7.58,2.02
Sep-17,8.14,2.86
Aug-17,10.11,3.83
Jul-17,8.7,4.29
Jun-17,6.18,4.41
May-17,4.25,4.93
Apr-17,3.38,4.34
Mar-17,3.84,4.41
Feb-17,4.85,3.49
Jan-17,6.89,3.72
Dec-16,7.05,2.27
Nov-16,6.26,1.64
Oct-16,8.21,1.7
Sep-16,8.43,2.27
Aug-16,10.27,2.83
Jul-16,9.21,3.41
Jun-16,7.77,3.28
May-16,4.95,3.16
Apr-16,4.43,2.73
Mar-16,4.72,2.74
Feb-16,6.29,1.51
Jan-16,8.11,1.06
Dec-15,8.45,0.85
Nov-15,7.81,0.63
Oct-15,11.01,0.89
Sep-15,11.38,1.35
Aug-15,11.42,1.66
Jul-15,10.82,1.87
Jun-15,9.48,1.52
May-15,6.55,1.23
Apr-15,6.8,0.96
Mar-15,7.07,0.88
Feb-15,6,0.88
Jan-15,8.16,0.84
Dec-14,8.6,0.97
Nov-14,8.02,0.82
Oct-14,11.11,0.99
Sep-14,11.37,1.23
Aug-14,10.81,1.87
Jul-14,10.38,2.29
Jun-14,7.08,2.19
May-14,7.17,2.05
Apr-14,7.19,1.4
Mar-14,7.59,0.94
Feb-14,9.08,0.71
Jan-14,9.58,0.8
Dec-13,10.83,0.91
Nov-13,9.16,1.02
Oct-13,9.43,1.39
Sep-13,10.86,1.75
Aug-13,10.95,2.6
Jul-13,10.65,3.16
Jun-13,8.21,2.83
May-13,6.7,2.68
Apr-13,6.39,2.23
Mar-13,7.74,1.77
Feb-13,8.18,1.49
Jan-13,8.84,1.67
Dec-12,8.4,1.94
Nov-12,8.83,1.5
Oct-12,10.45,1.87
Sep-12,11.28,2.41
Aug-12,12.4,2.94
Jul-12,9.32,3.24
Jun-12,7.78,3.01
May-12,7.39,3.43
Apr-12,7.35,2.28
Mar-12,8.12,1.47
Feb-12,8.49,1.09
Jan-12,8.41,1.32
Dec-11,8.89,1.76
Nov-11,6.7,1.94
Oct-11,6.92,2.25
Sep-11,8.84,3.21
Aug-11,8.63,4
Jul-11,6.99,4.94
Jun-11,4.21,4.93
May-11,3.67,5.07
Apr-11,4.35,4.56
Mar-11,5.25,3.86
Feb-11,6.57,2.36
Jan-11,6.61,3.24
Dec-10,7.83,3.24
Nov-10,8.42,2.05
Oct-10,9.92,1.96
Sep-10,8.92,2.62
Aug-10,9.72,3.49
Jul-10,8.13,4.14
Jun-10,4.75,4.4
May-10,5.19,3.91
Apr-10,7.23,2.56
Mar-10,8.76,2.02
Feb-10,8.21,1.43
Jan-10,8.9,1.32
